lkrID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,resdn_alt,note
78,Holstein,207,region,no,-,-,-,undetermined,1,,Switzerland or Germany
79,Mitawa,216,town,yes,"56.65, 23.71278",56.65,23.71278,https://www.geonames.org/459279/jelgava.html,3,,
80,Kamenets,233,town,yes,"48.67882, 26.58516",48.67882,26.58516,https://www.geonames.org/706950/kamyianets-podilskyy.html,3,KAMENETZ; KAMENITZ,
81,Liverpool,210,town,no,"53.41058, -2.97794",53.41058,-2.97794,https://www.geonames.org/2644210/liverpool.html,3,,
82,Makow,229,town,yes,"51.94696, 20.05211",51.94696,20.05211,https://www.geonames.org/765442/makow.html,1,MAKOVO,two other possible locations
83,Rypin,206,town,yes,"53.06603, 19.40941",53.06603,19.40941,https://www.geonames.org/3086511/rypin.html,2,,
84,Schaulen,196,town,yes,"55.93333, 23.31667",55.93333,23.31667,https://www.geonames.org/594739/siauliai.html,3,,
85,Hull,190,town,no,"53.7446, -0.33525",53.7446,-0.33525,https://www.geonames.org/2645425/kingston-upon-hull.html,3,,
86,Wirballen,201,town,yes,"54.62858, 22.82272",54.62858,22.82272,https://www.geonames.org/593086/virbalis.html,3,,
87,Posen,187,town,no,"52.40692, 16.92993",52.40692,16.92993,https://www.geonames.org/3088171/poznan.html,3,,
88,Pinsk,183,town,yes,"52.1229, 26.0951",52.1229,26.0951,https://www.geonames.org/623549/pinsk.html,3,,
89,Poltava,188,town,yes,"49.58925, 34.55367",49.58925,34.55367,https://www.geonames.org/696643/poltava.html,3,POLTAWA,
90,Slutsk,215,town,yes,"53.0274, 27.5597",53.0274,27.5597,https://www.geonames.org/621741/slutsk.html,3,,
91,Elisavetgrad,191,town,yes,"48.50834, 32.26618",48.50834,32.26618,https://www.geonames.org/705812/kropyvnytskyy.html,3,ELISABETHGRADE,
92,Georgenburg,178,town,yes,"55.07556, 22.76416",55.07556,22.76416,https://www.geonames.org/598655/jurbarkas.html,3,,
93,Lipne,176,town,yes,"51.02286, 26.0352",51.02286,26.0352,https://www.geonames.org/703019/lypne.html,2,,alternate locations in Rivne and Zhitomir
94,Wloclawek,177,town,yes,"52.64817, 19.0678",52.64817,19.0678,https://www.geonames.org/3081741/wloclawek.html,3,,
